Year,Date,Subregion,Habitat,SiteID,Site_name,StationID,Acropora_cervicornis,Acropora_palmata,Acropora_prolifera,Agaricia_fragilis,Agaricia_lamarcki,Cladocora_arbuscula,Colpophyllia_natans,Dendrogyra_cylindrus,Dichocoenia_stokesii,Diploria_labyrinthiformis,Eusmilia_fastigiata,Favia_fragum,Helioseris_cucullata,Isophyllia_rigida,Isophyllia_sinuosa,Madracis_aurentenra,Madracis_decactis,Madracis_pharensis,Madracis_scenaria,Madracis_sp,Manicina_areolata,Meandrina_meandrites,Millepora_complanata,Montastraea_cavernosa,Mussa_angulosa,Mycetophyllia_aliciae,Mycetophyllia_danaana,Mycetophyllia_ferox,Mycetophyllia_lamarckiana,Mycetophyllia_sp,Oculina_diffusa,Oculina_robusta,Orbicella_annularis_complex,Orbicella_faveolata,Orbicella_franksi,Phyllangia_americana,Porites_astreoides,Porites_branneri,Porites_porites,Pseudodiploria_clivosa,Pseudodiploria_strigosa,Scleractinia,Scolymia_cubensis,Scolymia_lacera,Siderastrea_radians,Siderastrea_siderea,Solenastrea_bournoni,Solenastrea_hyades,Stephanocoenia_intersepta,Undaria_agaricites_complex
2011,5/14/2011,LK,BCP,18,Content Keys,181,0.0,0.0,0.0,0.0,0.0,1516.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.2,0.0,0.0,0.0,0.0
2011,5/14/2011,LK,BCP,18,Content Keys,182,0.0,0.0,0.0,0.0,0.0,375.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,7459.1,0.0
2011,5/14/2011,LK,BCP,18,Content Keys,183,0.0,0.0,0.0,0.0,0.0,665.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.6,0.0,0.0,0.0,0.0
2011,5/14/2011,LK,BCP,18,Content Keys,184,0.0,0.0,0.0,0.0,0.0,1035.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9,165.0,0.0,0.0,0.0,0.0
2011,6/6/2011,UK,P,21,Two Patches,211,0.0,0.0,0.0,0.0,0.0,0.0,69.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6727.0,614.6,0.0,211.8,103.5
2011,6/6/2011,UK,P,21,Two Patches,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.9,132.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8266.4,3136.0,0.0,2295.5,630.4
2011,6/6/2011,UK,P,22,Burr Fish,221,0.0,0.0,0.0,0.0,0.0,0.0,4828.9,0.0,84.3,136.2,434.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2098.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.0,7168.0,,,0.0,204.2,0.0,778.4,0.0,0.0,0.0,0.0,0.0,0.0,20703.7,1701.3,0.0,3082.5,409.2
2011,6/6/2011,UK,P,22,Burr Fish,222,0.0,0.0,0.0,0.0,0.0,0.0,5904.9,0.0,0.0,1984.0,381.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.2,,,0.0,0.0,0.0,0.0,0.0,4599.5,0.0,0.0,0.0,0.0,13033.9,0.0,0.0,1125.7,174.9
2011,5/18/2011,MK,P,23,Rawa Reef,231,0.0,0.0,0.0,0.0,0.0,0.0,32892.3,0.0,677.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2649.7,,,0.0,25.1,0.0,52.2,0.0,2226.6,0.0,0.0,0.0,0.0,24060.0,0.0,0.0,1920.9,124.2
2011,5/18/2011,MK,P,23,Rawa Reef,232,0.0,0.0,0.0,0.0,0.0,0.0,34590.0,0.0,337.8,2715.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10910.8,0.0,136.2,0.0,0.0,0.0,0.0,0.0,0.0,139.0,,,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12228.1,0.0,0.0,1538.1,0.0
2011,5/13/2011,MK,P,24,Thor,241,0.0,0.0,0.0,0.0,0.0,0.0,10417.0,0.0,0.0,0.0,170.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48616.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3245.3,0.0,2542.5,0.0,9097.8,0.0,0.0,0.0,0.0,1986.8,0.0,0.0,1142.9,257.4
2011,5/13/2011,MK,P,24,Thor,242,299.4,0.0,0.0,0.0,0.0,0.0,1738.9,0.0,778.3,0.0,100.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2835.7,0.0,868.3,0.0,69.6,0.0,0.0,0.0,0.0,8536.3,0.0,0.0,4642.3,17.4
